Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
28,Osvaldo Alonso\8449bfda,cu CUB,MF,Minnesota Utd,35,1985,15.7,975,943,32,28,2,117,32,4,0,0,0,0,779,96,100,109,805,42,4,5,889,0,11,20,9,Matches
29,Jozy Altidore\8db8ad1e,us USA,FW,Toronto FC,31,1989,8.5,219,204,15,1,0,47,2,3,0,0,0,0,157,39,23,35,167,4,0,6,158,2,1,21,7,Matches
30,Alexander Alvarado\7302ba2b,ec ECU,FWMF,Orlando City,21,1999,2.2,84,81,3,1,0,13,1,2,1,0,0,1,69,8,7,10,69,2,1,0,73,0,1,1,1,Matches
31,Ventura Alvarado\4c219392,us USA,DF,Inter Miami,28,1992,0.2,8,5,3,0,0,1,0,0,0,0,0,0,5,2,1,0,5,0,3,0,7,0,0,0,1,Matches
32,Efrain Alvarez\3cd08ab7,mx MEX,FWMF,LA Galaxy,18,2002,13.9,659,612,47,16,7,113,26,26,30,13,2,1,516,62,81,603,41,13,0,2,550,3,8,25,16,Matches
33,Frankie Amaya\2e8bd00c,us USA,MF,NY Red Bulls,20,2000,9.3,353,332,21,10,2,62,14,9,8,3,5,0,230,51,72,63,264,15,3,3,267,2,10,10,6,Matches
34,Mikey Ambrose\f649d6aa,us USA,DFMF,Atlanta Utd,27,1993,0.7,43,39,4,1,0,6,0,1,0,0,0,0,30,7,6,36,1,2,3,1,35,0,0,3,3,Matches
35,Malte Amundsen\83b6e15d,dk DEN,DF,NYCFC,22,1998,15.5,853,707,146,7,1,100,14,39,1,1,0,0,516,181,156,614,74,19,138,0,647,5,10,39,33,Matches
36,Sebastian Anderson\3a9911ce,us USA,DF,Colorado Rapids,18,2002,0.4,19,16,3,0,0,4,0,0,0,0,0,0,8,8,3,2,11,2,3,0,17,0,0,1,0,Matches
37,José Andrés Martínez\c8364e8e,ve VEN,MF,Philadelphia,26,1994,21.7,1228,1205,23,19,1,184,90,10,0,0,0,0,869,143,216,67,1100,38,4,3,1026,1,30,39,20,Matches
38,Jalil Anibaba\e44593b0,us USA,DF,Nashville,32,1988,7.1,247,240,7,6,0,28,5,1,0,0,0,0,196,12,39,41,194,5,0,1,216,1,8,0,2,Matches
39,Brian Anunga\17b28ec7,cm CMR,MF,Nashville,24,1996,16.8,749,727,22,19,0,165,15,9,0,0,0,0,599,84,66,63,640,26,2,5,638,2,10,25,8,Matches
40,Cristian Arango\fea9401e,co COL,FW,Los Angeles FC,25,1995,15.5,314,278,36,2,1,95,2,18,0,0,0,0,217,51,46,29,243,14,1,9,225,0,2,18,17,Matches
41,Julian Araujo\8f4541c2,mx MEX,DF,LA Galaxy,19,2001,31.0,1844,1558,286,23,4,214,33,102,0,0,0,0,1184,417,243,151,1349,57,263,2,1492,3,37,60,60,Matches
42,Luiz Araújo\fa18c72e,br BRA,FWMF,Atlanta Utd,24,1996,12.8,509,490,19,11,5,85,25,22,6,1,2,0,393,52,64,393,104,8,1,1,394,2,7,38,12,Matches
43,Daniel Armando Ríos\078b2c07,mx MEX,FW,Nashville,25,1995,4.1,97,93,4,0,1,30,3,7,0,0,0,0,70,15,12,21,56,11,1,3,73,1,8,1,5,Matches
44,Xavier Arreaga\7f2b7640,ec ECU,DF,Seattle,26,1994,24.0,1053,1008,45,33,0,121,31,1,0,0,0,0,790,91,172,299,694,32,5,1,933,1,13,25,5,Matches
45,Paul Arriola\1bb2acce,us USA,FWMF,D.C. United,25,1995,15.1,459,436,23,1,5,88,14,35,3,0,1,0,304,84,71,103,314,17,18,5,306,1,10,33,28,Matches
46,Artur\ea6803c7,br BRA,MF,Columbus Crew,24,1996,4.8,244,238,6,5,0,52,8,2,0,0,0,0,200,20,24,25,212,5,1,1,217,1,3,1,6,Matches
47,Yamil Asad\a444689a,ar ARG,MFFW,D.C. United,26,1994,7.2,291,276,15,6,1,59,8,10,5,2,3,0,197,46,48,30,234,14,4,2,195,2,8,20,13,Matches
48,Dairon Asprilla\218d336c,co COL,FWMF,Portland Timbers,28,1992,23.2,749,727,22,2,0,189,18,62,0,0,0,0,485,148,116,79,557,43,19,8,543,2,17,27,39,Matches
49,Isaac Atanga\ff0f2a53,gh GHA,FWMF,FC Cincinnati,20,2000,11.4,201,195,6,1,1,39,3,14,0,0,0,0,156,27,18,19,165,8,5,0,156,0,3,11,5,Matches
50,Joshua Atencio\1f084637,us USA,MF,Seattle,19,2002,16.8,812,785,27,21,0,171,23,1,0,0,0,0,603,91,118,198,556,23,6,6,681,2,17,23,13,Matches
51,Jeff Attinella\4277b946,us USA,GK,Portland Timbers,32,1988,1.9,40,22,18,5,0,8,1,0,0,0,0,0,13,3,24,5,27,0,0,5,27,0,1,1,0,Matches
52,Eduard Atuesta\60990b81,co COL,MF,Los Angeles FC,23,1997,23.6,1739,1540,199,103,4,278,65,37,78,42,28,1,1299,149,291,305,1378,28,17,2,1398,5,25,64,33,Matches
53,Auro\b234cb0e,br BRA,DFMF,Toronto FC,25,1996,22.1,1241,1035,206,14,3,166,18,12,0,0,0,0,797,263,181,97,906,32,192,7,1011,3,12,44,42,Matches
54,Brandon Austin\5e253986,eng ENG,GK,Orlando City,22,1999,5.0,116,67,49,4,0,11,2,0,0,0,0,0,63,6,47,8,89,0,1,16,87,1,4,1,0,Matches
55,Edison Azcona\05f54837,do DOM,FW,Inter Miami,17,2003,0.6,24,22,2,1,0,6,0,1,0,0,0,0,21,1,2,5,18,0,1,0,23,0,0,0,0,Matches
56,Dominique Badji\758ac389,sn SEN,FW,Nashville,28,1992,2.1,52,52,0,0,0,17,0,1,0,0,0,0,31,10,11,23,17,3,0,0,38,0,2,1,2,Matches
57,Dominique Badji\758ac389,sn SEN,FWMF,Colorado Rapids,28,1992,3.6,66,62,4,0,0,15,3,1,0,0,0,0,41,17,8,21,34,4,0,1,50,0,1,3,3,Matches
58,Zico Bailey\aa9e1161,us USA,DF,FC Cincinnati,20,2000,7.6,374,329,45,6,1,37,5,6,0,0,0,0,269,69,36,67,261,6,39,0,329,0,4,8,8,Matches
59,Theo Bair\c724745e,ca CAN,FW,Vancouver,21,1999,0.3,11,11,0,0,0,1,0,0,0,0,0,0,4,6,1,1,4,3,0,2,8,0,0,0,0,Matches
60,Corey Baird\2d0d1442,us USA,FW,Los Angeles FC,25,1996,8.3,210,196,14,1,2,48,0,8,0,0,0,0,160,28,22,33,155,5,7,4,147,1,6,12,10,Matches
61,Corey Baird\2d0d1442,us USA,FW,Houston Dynamo,25,1996,4.0,89,83,6,1,0,23,0,2,0,0,0,0,66,14,9,8,72,2,2,2,68,2,2,8,1,Matches
62,Mateo Bajamich\d005b036,ar ARG,FWMF,Houston Dynamo,21,1999,1.5,49,41,8,1,0,9,3,6,5,1,3,0,32,6,11,3,45,0,1,0,27,0,0,6,1,Matches
63,Reed Baker-Whiting\816d7aec,us USA,MFFW,Seattle,15,2005,2.2,58,58,0,0,0,8,1,0,0,0,0,0,39,8,11,26,27,2,0,3,42,0,3,5,2,Matches
64,Michael Baldisimo\894b41c5,ca CAN,MF,Vancouver,20,2000,13.9,733,692,41,31,0,116,60,4,9,5,4,0,552,53,128,170,541,16,1,0,622,3,16,17,5,Matches
65,Grayson Barber\8504b10a,us USA,FWMF,Sporting KC,20,2000,2.4,66,64,2,0,0,11,1,1,0,0,0,0,50,10,6,10,48,2,1,2,45,0,2,3,3,Matches
66,Ezequiel Barco\7fa737c4,ar ARG,FWMF,Atlanta Utd,21,1999,23.7,1152,1035,117,41,2,177,39,21,43,21,11,0,904,132,116,102,1000,12,28,10,964,7,13,46,26,Matches
67,Tom Barlow\da4821de,us USA,FWMF,NY Red Bulls,25,1995,5.5,148,141,7,0,0,52,0,4,0,0,0,0,87,34,27,16,88,17,3,2,96,1,2,9,8,Matches
68,Luis Barraza\e6f22a6b,us USA,GK,NYCFC,24,1996,5.0,132,96,36,7,1,8,3,0,0,0,0,0,76,3,53,20,97,0,0,13,101,0,4,0,0,Matches
69,Álvaro Barreal\ffca53e1,ar ARG,FWMF,FC Cincinnati,20,2000,24.5,831,771,60,17,6,134,48,45,23,15,5,1,558,93,180,733,53,20,18,3,632,2,28,23,25,Matches
70,Michael Barrios\df782c79,co COL,FWMF,Colorado Rapids,29,1991,23.3,576,536,40,3,5,106,16,70,2,0,2,0,406,88,82,46,489,17,14,4,407,3,8,28,34,Matches
71,Cole Bassett\2c8da8a1,us USA,MFFW,Colorado Rapids,19,2001,24.6,938,895,43,8,2,181,36,40,14,7,6,1,696,122,120,182,689,35,13,4,759,4,16,31,23,Matches
72,Zorhan Bassong\6297d826,ca CAN,DF,CF Montréal,21,1999,13.9,736,658,78,11,0,90,9,12,1,0,0,0,545,102,89,540,97,22,66,1,614,3,7,26,17,Matches
73,Clement Bayiha\ca9f2034,ca CAN,DF,CF Montréal,21,1999,3.2,172,143,29,2,0,29,0,6,0,0,0,0,131,29,12,12,131,1,27,1,149,0,3,4,4,Matches
74,Tanner Beason\3f1b018e,us USA,DF,San Jose,23,1997,21.4,1006,938,68,25,0,125,34,4,0,0,0,0,727,110,169,707,171,43,43,3,839,0,29,26,14,Matches
75,Alejandro Bedoya\9a6f8dfd,us USA,MF,Philadelphia,33,1987,29.5,1298,1248,50,8,1,261,22,50,0,0,0,0,954,191,153,185,952,63,32,7,978,4,23,58,80,Matches
76,Steven Beitashour\64f1680a,ir IRN,DF,Colorado Rapids,33,1987,6.5,274,229,45,3,0,27,5,5,0,0,0,0,157,68,49,66,147,15,41,1,221,1,8,6,6,Matches
77,Jon Bell\658a3134,us USA,DF,New England,23,1997,9.1,351,337,14,12,0,52,10,1,0,0,0,0,261,40,50,287,28,20,2,3,284,0,15,11,6,Matches
78,George Bello\aca0a525,us USA,DF,Atlanta Utd,19,2002,27.1,1246,1049,197,26,2,179,16,46,0,0,0,0,919,240,87,889,163,9,171,3,1084,3,10,36,30,Matches
79,Joe Bendik\c3e50b67,us USA,GK,Philadelphia,31,1989,2.4,67,43,24,5,0,1,4,0,0,0,0,0,16,7,44,54,3,0,0,6,36,0,7,2,1,Matches
80,Nicolas Benezet\30395d3b,fr FRA,FWMF,Colorado Rapids,29,1991,3.2,155,151,4,0,2,31,3,3,2,1,0,0,129,16,10,36,118,1,0,0,123,1,1,7,8,Matches
81,Nicolas Benezet\30395d3b,fr FRA,FWMF,Seattle,29,1991,7.4,324,305,19,3,0,73,9,12,4,3,1,0,240,49,35,73,226,10,5,2,244,2,2,26,9,Matches
82,Sebastian Berhalter\f33ee427,us USA,MF,Austin FC,19,2001,7.3,528,508,20,11,0,72,33,5,5,2,3,0,357,57,114,48,460,11,4,1,444,2,15,13,8,Matches
83,Robert Berić\9001138b,si SVN,FW,Chicago Fire,29,1991,24.4,544,481,63,1,0,167,8,18,0,0,0,0,379,102,63,38,459,9,4,13,415,0,10,20,29,Matches
84,Miguel Berry\a5532e80,es ESP,FW,Columbus Crew,23,1997,9.4,170,149,21,0,0,59,3,3,0,0,0,0,101,36,33,8,125,11,2,2,109,1,4,13,9,Matches
85,Matt Besler\8393a973,us USA,DF,Austin FC,33,1987,19.4,1361,1334,27,21,0,105,33,0,0,0,0,0,1134,90,137,1073,218,41,6,3,1259,1,17,22,4,Matches
86,Nick Besler\cc9fa1a8,us USA,MF,Real Salt Lake,27,1993,18.3,791,776,15,11,1,137,19,3,0,0,0,0,617,81,93,54,677,30,4,3,696,0,18,13,11,Matches
