Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
641,Kimarni Smith\bbbb244b,eng ENG,FW,D.C. United,22,1998,1.1,17,22,77.3,294,31,6,6,100.0,10,13,76.9,1,1,100.0,0,0.0,0.0,0,1,1,0,2,Matches
642,Kyle Smith\9e6b2ec3,us USA,DF,Orlando City,29,1992,19.9,930,1151,80.8,17709,7285,364,410,88.8,437,507,86.2,119,202,58.9,0,0.8,-0.8,11,48,22,10,75,Matches
643,Erik Sorga\02ba67a2,ee EST,FW,D.C. United,21,1999,2.8,47,59,79.7,742,36,24,33,72.7,22,25,88.0,1,1,100.0,0,0.1,-0.1,4,0,0,0,1,Matches
644,Santiago Sosa\f080dd22,ar ARG,MFDF,Atlanta Utd,21,1999,24.4,1515,1706,88.8,31414,7622,556,601,92.5,641,704,91.1,297,352,84.4,0,1.3,-1.3,16,140,13,0,103,Matches
645,Yeferson Soteldo\bbb6c951,ve VEN,FW,Toronto FC,23,1997,19.3,622,846,73.5,10317,2922,331,385,86.0,207,269,77.0,61,138,44.2,6,4.2,+1.8,36,37,34,8,71,Matches
646,Omar Sowe\310fd6d8,gm GAM,FW,NY Red Bulls,20,2000,0.2,1,1,100.0,19,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
647,Dayne St. Clair\3f41d25f,ca CAN,GK,Minnesota Utd,23,1997,4.0,73,115,63.5,2277,1462,6,6,100.0,38,38,100.0,29,71,40.8,0,0.0,0.0,0,0,0,0,0,Matches
648,Mason Stajduhar\f01df62c,us USA,GK,Orlando City,23,1997,5.0,95,112,84.8,2134,1088,21,21,100.0,58,58,100.0,16,33,48.5,0,0.0,0.0,0,2,0,0,0,Matches
649,Caleb Stanko\381e52af,us USA,MFDF,FC Cincinnati,27,1993,13.0,456,530,86.0,9425,2390,161,179,89.9,206,230,89.6,81,106,76.4,0,0.0,0.0,1,40,1,0,23,Matches
650,Aedan Stanley\61cd3bcf,us USA,DF,Austin FC,21,1999,2.6,151,185,81.6,2435,530,68,78,87.2,78,91,85.7,3,9,33.3,0,0.1,-0.1,1,9,2,0,9,Matches
651,Daniel Steres\17c03c76,us USA,DF,LA Galaxy,30,1990,12.6,696,757,91.9,15540,5323,160,166,96.4,401,417,96.2,132,166,79.5,2,0.7,+1.3,3,45,1,0,37,Matches
652,Luka Stojanović\1a892191,rs SRB,MF,Chicago Fire,27,1994,15.0,494,649,76.1,9693,2614,202,229,88.2,196,243,80.7,84,150,56.0,1,1.8,-0.8,27,41,14,3,49,Matches
653,Jared Stroud\5d018899,us USA,FWMF,Austin FC,24,1996,12.9,284,404,70.3,4813,949,145,172,84.3,101,147,68.7,31,60,51.7,4,3.1,+0.9,13,9,12,5,21,Matches
654,Aljaž Struna\b82c2982,si SVN,DF,CF Montréal,30,1990,15.9,734,834,88.0,14463,6148,261,274,95.3,373,413,90.3,95,137,69.3,0,0.3,-0.3,2,46,2,1,57,Matches
655,Brad Stuver\6a1940d5,us USA,GK,Austin FC,29,1991,33.0,1017,1232,82.5,24736,13913,253,256,98.8,526,537,98.0,237,435,54.5,0,0.0,0.0,0,2,0,0,0,Matches
