Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls_p_90,Ast_p_90,G+A_p_90,G-PK_p_90,G+A-PK_p_90,xG,npxG,xA,npxG+xA,xG_p_90,xA_p_90,xG+xA_p_90,npxG_p_90,npxG+xA_p_90,Matches
22,Tesho Akindele\897304e5,ca CAN,FW,Orlando City,28,1992,32,15,1368,15.2,3,6,3,0,1,1,0,0.20,0.39,0.59,0.20,0.59,6.1,5.3,2.3,7.6,0.40,0.15,0.55,0.35,0.50,Matches
23,Ayo Akinola\214d2406,ca CAN,FW,Toronto FC,21,2000,11,8,645,7.2,3,0,3,0,0,0,0,0.42,0.00,0.42,0.42,0.42,2.2,2.2,0.4,2.6,0.31,0.06,0.36,0.31,0.36,Matches
24,Oswaldo Alanís\e97787d9,mx MEX,DF,San Jose,31,1989,25,24,2042,22.7,2,0,0,2,2,3,0,0.09,0.00,0.09,0.00,0.00,2.0,0.5,0.2,0.7,0.09,0.01,0.10,0.02,0.03,Matches
25,Caio Alexandre\08ac23b7,br BRA,MF,Vancouver,21,1999,15,11,956,10.6,0,1,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09,0.9,0.9,0.7,1.6,0.09,0.06,0.15,0.09,0.15,Matches
26,Tony Alfaro\4118b12a,us USA,DF,D.C. United,27,1993,25,21,1846,20.5,1,1,1,0,0,7,0,0.05,0.05,0.10,0.05,0.10,1.4,1.4,0.0,1.5,0.07,0.00,0.07,0.07,0.07,Matches
27,Ignacio Aliseda\bb8099ee,ar ARG,FWMF,Chicago Fire,20,2000,23,16,1594,17.7,4,1,4,0,0,0,0,0.23,0.06,0.28,0.23,0.28,3.8,3.8,2.2,5.9,0.21,0.12,0.34,0.21,0.34,Matches
28,Osvaldo Alonso\8449bfda,cu CUB,MF,Minnesota Utd,35,1985,24,15,1416,15.7,1,0,1,0,0,8,0,0.06,0.00,0.06,0.06,0.06,0.5,0.5,0.6,1.1,0.03,0.04,0.07,0.03,0.07,Matches
29,Jozy Altidore\8db8ad1e,us USA,FW,Toronto FC,31,1989,16,8,768,8.5,4,0,4,0,0,1,0,0.47,0.00,0.47,0.47,0.47,2.6,2.6,0.2,2.8,0.31,0.02,0.33,0.30,0.33,Matches
30,Alexander Alvarado\7302ba2b,ec ECU,FWMF,Orlando City,21,1999,10,2,197,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.02,0.03,0.05,0.02,0.05,Matches
31,Ventura Alvarado\4c219392,us USA,DF,Inter Miami,28,1992,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
32,Efrain Alvarez\3cd08ab7,mx MEX,FWMF,LA Galaxy,18,2002,26,16,1252,13.9,2,2,2,0,0,1,0,0.14,0.14,0.29,0.14,0.29,2.7,2.7,3.1,5.8,0.19,0.22,0.42,0.19,0.42,Matches
33,Frankie Amaya\2e8bd00c,us USA,MF,NY Red Bulls,20,2000,22,10,840,9.3,1,1,1,0,0,1,0,0.11,0.11,0.21,0.11,0.21,0.5,0.5,1.1,1.6,0.05,0.11,0.17,0.05,0.17,Matches
34,Mikey Ambrose\f649d6aa,us USA,DFMF,Atlanta Utd,27,1993,4,1,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
35,Malte Amundsen\83b6e15d,dk DEN,DF,NYCFC,22,1998,32,14,1394,15.5,1,3,1,0,0,2,0,0.06,0.19,0.26,0.06,0.26,0.5,0.5,2.8,3.3,0.03,0.18,0.21,0.03,0.21,Matches
36,Sebastian Anderson\3a9911ce,us USA,DF,Colorado Rapids,18,2002,1,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
37,José Andrés Martínez\c8364e8e,ve VEN,MF,Philadelphia,26,1994,24,23,1953,21.7,0,2,0,0,0,9,1,0.00,0.09,0.09,0.00,0.09,0.4,0.4,0.5,0.9,0.02,0.02,0.04,0.02,0.04,Matches
38,Jalil Anibaba\e44593b0,us USA,DF,Nashville,32,1988,9,7,635,7.1,1,0,1,0,0,0,0,0.14,0.00,0.14,0.14,0.14,0.3,0.3,0.0,0.3,0.04,0.00,0.04,0.04,0.04,Matches
39,Brian Anunga\17b28ec7,cm CMR,MF,Nashville,24,1996,25,17,1511,16.8,1,0,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,0.8,0.8,0.7,1.5,0.05,0.04,0.09,0.05,0.09,Matches
40,Cristian Arango\fea9401e,co COL,FW,Los Angeles FC,25,1995,17,15,1396,15.5,14,2,9,5,5,4,0,0.90,0.13,1.03,0.58,0.71,12.0,8.2,3.5,11.7,0.78,0.22,1.00,0.53,0.75,Matches
