Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Matches
33,Frankie Amaya\2e8bd00c,us USA,MF,NY Red Bulls,20,2000,9.3,32,3.43,17,4,1,2,5,3,2,0.21,1,1,0,0,0,0,Matches
34,Mikey Ambrose\f649d6aa,us USA,DFMF,Atlanta Utd,27,1993,0.7,1,1.38,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
35,Malte Amundsen\83b6e15d,dk DEN,DF,NYCFC,22,1998,15.5,33,2.13,26,2,1,0,3,1,5,0.32,4,0,0,0,1,0,Matches
36,Sebastian Anderson\3a9911ce,us USA,DF,Colorado Rapids,18,2002,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
37,José Andrés Martínez\c8364e8e,ve VEN,MF,Philadelphia,26,1994,21.7,36,1.66,29,0,1,2,2,2,4,0.18,3,0,1,0,0,0,Matches
38,Jalil Anibaba\e44593b0,us USA,DF,Nashville,32,1988,7.1,2,0.28,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
39,Brian Anunga\17b28ec7,cm CMR,MF,Nashville,24,1996,16.8,24,1.43,20,1,1,0,1,1,1,0.06,1,0,0,0,0,0,Matches
40,Cristian Arango\fea9401e,co COL,FW,Los Angeles FC,25,1995,15.5,53,3.42,32,0,4,6,10,1,5,0.32,2,0,1,0,2,0,Matches
41,Julian Araujo\8f4541c2,mx MEX,DF,LA Galaxy,19,2001,31.0,64,2.06,57,0,6,0,1,0,10,0.32,9,0,1,0,0,0,Matches
42,Luiz Araújo\fa18c72e,br BRA,FWMF,Atlanta Utd,24,1996,12.8,58,4.55,43,1,7,4,2,1,6,0.47,4,1,1,0,0,0,Matches
43,Daniel Armando Ríos\078b2c07,mx MEX,FW,Nashville,25,1995,4.1,13,3.14,9,0,1,1,0,2,2,0.48,2,0,0,0,0,0,Matches
44,Xavier Arreaga\7f2b7640,ec ECU,DF,Seattle,26,1994,24.0,7,0.29,5,0,0,0,2,0,1,0.04,0,0,0,0,1,0,Matches
45,Paul Arriola\1bb2acce,us USA,FWMF,D.C. United,25,1995,15.1,43,2.86,32,0,4,5,2,0,8,0.53,4,0,2,2,0,0,Matches
46,Artur\ea6803c7,br BRA,MF,Columbus Crew,24,1996,4.8,3,0.63,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
47,Yamil Asad\a444689a,ar ARG,MFFW,D.C. United,26,1994,7.2,28,3.88,20,4,0,0,3,1,2,0.28,2,0,0,0,0,0,Matches
48,Dairon Asprilla\218d336c,co COL,FWMF,Portland Timbers,28,1992,23.2,54,2.33,39,0,4,7,3,1,6,0.26,5,0,0,1,0,0,Matches
49,Isaac Atanga\ff0f2a53,gh GHA,FWMF,FC Cincinnati,20,2000,11.4,15,1.32,13,0,0,1,1,0,3,0.26,3,0,0,0,0,0,Matches
50,Joshua Atencio\1f084637,us USA,MF,Seattle,19,2002,16.8,16,0.95,16,0,0,0,0,0,3,0.18,3,0,0,0,0,0,Matches
51,Jeff Attinella\4277b946,us USA,GK,Portland Timbers,32,1988,1.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
52,Eduard Atuesta\60990b81,co COL,MF,Los Angeles FC,23,1997,23.6,92,3.89,57,24,5,1,4,1,12,0.51,7,4,1,0,0,0,Matches
53,Auro\b234cb0e,br BRA,DFMF,Toronto FC,25,1996,22.1,37,1.67,29,1,5,0,2,0,6,0.27,3,0,2,0,1,0,Matches
54,Brandon Austin\5e253986,eng ENG,GK,Orlando City,22,1999,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
55,Edison Azcona\05f54837,do DOM,FW,Inter Miami,17,2003,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
56,Dominique Badji\758ac389,sn SEN,FW,Nashville,28,1992,2.1,2,0.96,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
57,Dominique Badji\758ac389,sn SEN,FWMF,Colorado Rapids,28,1992,3.6,1,0.27,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
58,Zico Bailey\aa9e1161,us USA,DF,FC Cincinnati,20,2000,7.6,13,1.71,10,0,1,0,1,1,2,0.26,2,0,0,0,0,0,Matches
59,Theo Bair\c724745e,ca CAN,FW,Vancouver,21,1999,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
60,Corey Baird\2d0d1442,us USA,FW,Los Angeles FC,25,1996,8.3,8,0.96,6,0,0,0,1,1,2,0.24,2,0,0,0,0,0,Matches
61,Corey Baird\2d0d1442,us USA,FW,Houston Dynamo,25,1996,4.0,8,1.99,5,0,0,3,0,0,1,0.25,0,0,0,1,0,0,Matches
62,Mateo Bajamich\d005b036,ar ARG,FWMF,Houston Dynamo,21,1999,1.5,5,3.24,5,0,0,0,0,0,1,0.65,1,0,0,0,0,0,Matches
63,Reed Baker-Whiting\816d7aec,us USA,MFFW,Seattle,15,2005,2.2,4,1.79,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
64,Michael Baldisimo\894b41c5,ca CAN,MF,Vancouver,20,2000,13.9,7,0.50,5,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
65,Grayson Barber\8504b10a,us USA,FWMF,Sporting KC,20,2000,2.4,2,0.83,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
66,Ezequiel Barco\7fa737c4,ar ARG,FWMF,Atlanta Utd,21,1999,23.7,124,5.22,79,13,11,4,15,2,16,0.67,11,1,1,1,2,0,Matches
67,Tom Barlow\da4821de,us USA,FWMF,NY Red Bulls,25,1995,5.5,14,2.53,10,0,2,0,0,2,0,0.00,0,0,0,0,0,0,Matches
68,Luis Barraza\e6f22a6b,us USA,GK,NYCFC,24,1996,5.0,2,0.40,0,2,0,0,0,0,1,0.20,0,1,0,0,0,0,Matches
69,Álvaro Barreal\ffca53e1,ar ARG,FWMF,FC Cincinnati,20,2000,24.5,59,2.41,28,7,4,6,11,3,5,0.20,3,0,1,1,0,0,Matches
70,Michael Barrios\df782c79,co COL,FWMF,Colorado Rapids,29,1991,23.3,80,3.44,60,1,9,3,3,4,11,0.47,6,0,3,1,1,0,Matches
71,Cole Bassett\2c8da8a1,us USA,MFFW,Colorado Rapids,19,2001,24.6,76,3.10,51,3,4,8,9,1,9,0.37,5,0,1,1,1,1,Matches
72,Zorhan Bassong\6297d826,ca CAN,DF,CF Montréal,21,1999,13.9,18,1.29,14,2,1,0,0,1,3,0.22,2,1,0,0,0,0,Matches
73,Clement Bayiha\ca9f2034,ca CAN,DF,CF Montréal,21,1999,3.2,3,0.94,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
74,Tanner Beason\3f1b018e,us USA,DF,San Jose,23,1997,21.4,12,0.56,8,1,0,2,1,0,1,0.05,0,0,0,1,0,0,Matches
75,Alejandro Bedoya\9a6f8dfd,us USA,MF,Philadelphia,33,1987,29.5,77,2.61,67,2,0,4,3,1,8,0.27,5,1,0,1,1,0,Matches
76,Steven Beitashour\64f1680a,ir IRN,DF,Colorado Rapids,33,1987,6.5,14,2.14,12,2,0,0,0,0,2,0.31,2,0,0,0,0,0,Matches
77,Jon Bell\658a3134,us USA,DF,New England,23,1997,9.1,5,0.55,4,1,0,0,0,0,2,0.22,2,0,0,0,0,0,Matches
78,George Bello\aca0a525,us USA,DF,Atlanta Utd,19,2002,27.1,41,1.52,33,1,2,1,4,0,5,0.18,4,0,0,0,1,0,Matches
79,Joe Bendik\c3e50b67,us USA,GK,Philadelphia,31,1989,2.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
80,Nicolas Benezet\30395d3b,fr FRA,FWMF,Colorado Rapids,29,1991,3.2,11,3.39,9,1,0,0,1,0,2,0.62,2,0,0,0,0,0,Matches
81,Nicolas Benezet\30395d3b,fr FRA,FWMF,Seattle,29,1991,7.4,26,3.53,19,2,1,3,1,0,1,0.14,1,0,0,0,0,0,Matches
82,Sebastian Berhalter\f33ee427,us USA,MF,Austin FC,19,2001,7.3,13,1.78,12,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
83,Robert Berić\9001138b,si SVN,FW,Chicago Fire,29,1991,24.4,49,2.01,35,0,2,9,2,1,3,0.12,3,0,0,0,0,0,Matches
84,Miguel Berry\a5532e80,es ESP,FW,Columbus Crew,23,1997,9.4,19,2.03,13,0,3,2,0,1,4,0.43,2,0,1,1,0,0,Matches
85,Matt Besler\8393a973,us USA,DF,Austin FC,33,1987,19.4,15,0.77,15,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
86,Nick Besler\cc9fa1a8,us USA,MF,Real Salt Lake,27,1993,18.3,16,0.87,13,0,0,0,0,3,3,0.16,2,0,0,0,0,1,Matches
87,Janio Bikel\7d944245,pt POR,MF,Vancouver,25,1995,25.6,18,0.70,15,0,0,0,3,0,1,0.04,1,0,0,0,0,0,Matches
88,Steve Birnbaum\26637ac8,us USA,DF,D.C. United,30,1991,18.0,7,0.39,6,0,0,1,0,0,1,0.06,1,0,0,0,0,0,Matches
89,José Bizama\fbcb25ab,cl CHI,DF,Houston Dynamo,26,1994,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
90,Tyler Blackett\a68a5466,eng ENG,DF,FC Cincinnati,26,1994,8.6,1,0.12,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
91,Jamal Blackman\dd26b605,eng ENG,GK,Los Angeles FC,27,1993,8.0,1,0.12,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
92,Tristan Blackmon\7f35d14e,us USA,DF,Los Angeles FC,24,1996,14.4,15,1.04,13,0,1,1,0,0,2,0.14,2,0,0,0,0,0,Matches
93,Andre Blake\b3b21a11,jm JAM,GK,Philadelphia,30,1990,26.0,1,0.04,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
94,Sebastián Blanco\4ddd0834,ar ARG,MFFW,Portland Timbers,32,1988,13.1,50,3.81,38,2,2,3,3,2,12,0.92,8,2,0,1,1,0,Matches
95,Latif Blessing\5153d32e,gh GHA,MFDF,Los Angeles FC,24,1996,24.5,72,2.94,59,0,6,1,4,2,7,0.29,6,0,0,0,1,0,Matches
96,Emmanuel Boateng\25f77a5f,gh GHA,MFFW,New England,27,1994,4.2,19,4.49,16,2,0,0,0,1,5,1.18,5,0,0,0,0,0,Matches
97,Blake Bodily\612a0951,us USA,FWDF,Portland Timbers,23,1998,2.3,6,2.63,4,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
98,Jonathan Bond\c3a86eea,eng ENG,GK,LA Galaxy,27,1993,31.0,5,0.16,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
99,Pablo Bonilla\da23cdc3,ve VEN,DF,Portland Timbers,21,1999,15.1,13,0.86,8,2,1,1,1,0,2,0.13,1,0,1,0,0,0,Matches
100,Alex Bono\aa28a396,us USA,GK,Toronto FC,26,1994,24.0,1,0.04,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
101,Jonathan Bornstein\79a6c95f,us USA,DF,Chicago Fire,36,1984,24.7,23,0.93,23,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
102,Gustavo Bou\3dfcc735,ar ARG,FW,New England,30,1990,25.8,106,4.11,83,5,7,6,2,3,15,0.58,12,0,2,1,0,0,Matches
103,Michael Boxall\6bfa0d3a,nz NZL,DF,Minnesota Utd,32,1988,24.3,8,0.33,7,0,0,1,0,0,1,0.04,0,0,0,1,0,0,Matches
104,Michael Bradley\fd5e3a73,us USA,MFDF,Toronto FC,33,1987,29.9,50,1.67,35,11,0,0,1,3,8,0.27,2,4,0,0,1,1,Matches
105,Zachary Brault-Guillard\948a58c2,ca CAN,DF,CF Montréal,22,1998,22.8,42,1.84,37,1,1,0,3,0,3,0.13,3,0,0,0,0,0,Matches
106,Claudio Bravo\5619c5e8,ar ARG,DF,Portland Timbers,23,1997,22.4,50,2.23,39,3,3,2,0,3,4,0.18,3,0,0,1,0,0,Matches
107,Brenner\279508bf,br BRA,FW,FC Cincinnati,21,2000,30.9,61,1.97,43,1,0,7,8,2,8,0.26,4,0,0,0,3,1,Matches
108,Bressan\3db1684c,br BRA,DF,FC Dallas,28,1993,19.4,15,0.77,13,1,0,1,0,0,1,0.05,1,0,0,0,0,0,Matches
109,Sebastian Breza\52e7f812,ca CAN,GK,CF Montréal,22,1998,8.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
110,Frédéric Brillant\5b14180f,fr FRA,DF,D.C. United,35,1985,14.6,4,0.27,2,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
111,Andrew Brody\33e46323,us USA,DF,Real Salt Lake,25,1995,12.0,20,1.67,18,0,0,0,1,1,2,0.17,2,0,0,0,0,0,Matches
112,Javain Brown\3d14c62e,jm JAM,DF,Vancouver,21,1999,19.3,27,1.40,23,2,0,0,0,2,6,0.31,5,0,0,0,0,1,Matches
113,Will Bruin\87a6ac29,us USA,FW,Seattle,31,1989,14.3,42,2.94,29,0,4,2,5,2,6,0.42,4,0,1,1,0,0,Matches
114,Tajon Buchanan\3aca6420,ca CAN,MFFW,New England,21,1999,19.4,54,2.79,34,0,6,3,10,1,9,0.46,6,0,1,0,2,0,Matches
115,Adam Buksa\3b676989,pl POL,FW,New England,24,1996,23.1,51,2.21,25,0,9,9,7,1,9,0.39,4,0,1,2,1,1,Matches
116,Teal Bunbury\3077fce8,us USA,FWMF,New England,30,1990,12.7,37,2.91,30,0,1,3,3,0,4,0.31,3,0,0,1,0,0,Matches
117,Nkosi Burgess\4a07ae31,us USA,DF,FC Dallas,23,1997,20.3,12,0.59,11,1,0,0,0,0,2,0.10,2,0,0,0,0,0,Matches
118,Cory Burke\39fde61c,jm JAM,FWMF,Philadelphia,29,1991,10.5,24,2.28,16,0,2,3,2,1,4,0.38,2,0,0,1,1,0,Matches
119,Evan Bush\69a57596,us USA,GK,Columbus Crew,34,1986,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
120,Gianluca Busio\4a0b7f07,us USA,MFFW,Sporting KC,18,2002,12.8,39,3.05,23,10,1,2,1,2,4,0.31,4,0,0,0,0,0,Matches
121,Handwalla Bwana\b56080ee,so SOM,FW,Nashville,23,1997,1.1,5,4.59,1,1,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
122,Brandon Bye\9fcd12af,us USA,DF,New England,25,1995,27.5,50,1.82,42,2,1,2,1,2,4,0.15,4,0,0,0,0,0,Matches
123,Kevin Cabral\42af215b,fr FRA,FWMF,LA Galaxy,21,1999,22.1,53,2.39,35,0,7,5,5,1,7,0.32,3,0,1,1,2,0,Matches
124,Jhonder Cádiz\e8edfdc9,ve VEN,FW,Nashville,25,1995,7.7,18,2.35,16,0,1,0,0,1,2,0.26,2,0,0,0,0,0,Matches
125,Deiber Caicedo\9bfa2f52,co COL,FWMF,Vancouver,20,2000,25.0,78,3.12,36,19,8,4,6,5,9,0.36,2,4,1,0,1,1,Matches
126,Luís Caicedo\008ddeb9,co COL,MF,New England,24,1996,2.1,3,1.41,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
127,Scott Caldwell\4a54592d,us USA,MF,New England,29,1991,2.3,4,1.76,4,0,0,0,0,0,1,0.44,1,0,0,0,0,0,Matches
128,Alexander Callens\af34f10d,pe PER,DF,NYCFC,28,1992,23.3,9,0.39,7,1,0,1,0,0,2,0.09,2,0,0,0,0,0,Matches
129,Francisco Calvo\706bd23f,cr CRC,DF,Chicago Fire,28,1992,16.2,11,0.68,8,0,1,2,0,0,0,0.00,0,0,0,0,0,0,Matches
130,Rudy Camacho\6ad16d47,fr FRA,DF,CF Montréal,29,1991,30.5,10,0.33,9,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
131,Geoff Cameron\1a160ea3,us USA,DF,FC Cincinnati,35,1985,26.3,9,0.34,7,0,0,2,0,0,3,0.11,1,0,0,2,0,0,Matches
132,George Campbell\45e1a597,us USA,DF,Atlanta Utd,19,2001,7.0,3,0.43,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
133,Russell Canouse\ec730d9a,us USA,MF,D.C. United,25,1995,19.0,23,1.21,16,0,0,2,4,1,3,0.16,3,0,0,0,0,0,Matches
134,Nathan Cardoso\d4438745,br BRA,DF,San Jose,25,1995,19.2,21,1.10,12,0,1,3,1,4,0,0.00,0,0,0,0,0,0,Matches
135,Antonio Carlos\949fe1e8,br BRA,DF,Orlando City,27,1993,26.8,15,0.56,9,1,0,3,0,2,4,0.15,2,0,0,1,0,1,Matches
136,Wikelman Carmona\cab97dd2,ve VEN,MFFW,NY Red Bulls,17,2003,13.7,50,3.66,29,7,4,1,6,3,2,0.15,1,0,0,0,1,0,Matches
