Squad,Age,Born,90s,Touches,Def_Pen_Touches,Def_3rd_Touches,Mid_3rd_Touches,Att_3rd_Touches,Att_Pen_Touches,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
610,Johnny Russell\a30e1562,sct SCO,FW,Sporting KC,30,1990,24.7,1205,17,137,437,731,150,1073,40,86,46.5,51,3,825,5093,2992,165,40,43,63,46,1077,862,80.0,141,Matches
611,Shea Salinas\4c10838d,us USA,DFFW,San Jose,34,1986,15.5,899,35,219,437,340,61,825,33,71,46.5,35,0,640,4344,2872,124,36,24,32,32,727,621,85.4,71,Matches
612,Dániel Sallói\6fcddf5f,hu HUN,FW,Sporting KC,24,1996,27.3,1184,16,114,400,761,172,1163,23,60,38.3,28,5,871,4744,2616,155,40,32,52,40,1303,949,72.8,237,Matches
613,Ilie Sánchez\72979f65,es ESP,DFMF,Sporting KC,30,1990,27.9,2407,240,1180,1286,124,20,2353,6,10,60.0,6,0,1593,10135,5748,131,22,0,10,7,1858,1825,98.2,11,Matches
614,James Sands\dccd127f,us USA,DFMF,NYCFC,20,2000,25.1,1665,187,823,870,81,1,1587,5,7,71.4,6,0,1039,6088,3260,63,19,1,8,11,1087,1064,97.9,6,Matches
615,Sergio Santos Gomes\a930b263,br BRA,FWMF,Philadelphia,26,1994,15.1,577,9,35,190,385,114,568,17,40,42.5,17,0,386,1988,1020,53,15,24,54,26,746,427,57.2,174,Matches
616,Pedro Santos\789da0f2,pt POR,FWDF,Columbus Crew,32,1988,28.4,1703,75,417,807,622,64,1605,36,59,61.0,37,2,1194,6455,3542,171,63,14,53,38,1336,1139,85.3,106,Matches
617,C.J. Sapong\ef4e4c5d,us USA,FW,Nashville,32,1988,24.5,818,8,41,408,424,97,814,21,41,51.2,22,0,530,2882,1664,92,31,10,66,34,1117,671,60.1,176,Matches
618,Rodrigo Schlegel\5bb02df4,ar ARG,DF,Orlando City,23,1997,17.5,937,134,565,369,34,13,886,1,1,100.0,1,0,526,1996,935,13,3,0,1,3,575,566,98.4,3,Matches
619,Szabolcs Schön\d5ff481a,hu HUN,FW,FC Dallas,20,2000,10.6,509,10,101,217,234,39,495,26,53,49.1,26,2,391,1775,1024,48,10,13,22,36,458,350,76.4,56,Matches
620,Kyle Scott\1c24aacf,eng ENG,MF,FC Cincinnati,23,1997,1.0,77,1,15,45,23,3,75,1,4,25.0,1,0,53,223,136,5,3,1,1,0,62,57,91.9,2,Matches
621,Dante Sealy\620ae69c,us USA,FWMF,FC Dallas,17,2003,0.8,44,0,6,13,26,5,44,4,6,66.7,5,0,36,177,85,6,0,1,7,4,49,33,67.3,11,Matches
622,Eddie Segura\c70e3fe0,co COL,DF,Los Angeles FC,23,1997,14.3,950,110,488,468,46,11,928,2,3,66.7,2,0,582,2983,1480,38,8,1,4,3,617,607,98.4,0,Matches
623,Chris Seitz\8b388dd5,us USA,GK,D.C. United,33,1987,4.0,107,89,107,0,0,0,72,0,0,,0,0,52,173,91,0,0,0,1,0,36,36,100.0,0,Matches
624,Amar Sejdic\43ca2019,us USA,MF,Atlanta Utd,24,1996,4.7,315,8,101,165,70,1,304,9,9,100.0,9,0,217,1127,489,15,4,1,5,3,239,227,95.0,6,Matches
625,Amar Sejdic\43ca2019,us USA,MF,CF Montréal,24,1996,4.3,299,6,68,184,62,0,292,1,5,20.0,3,0,204,880,412,15,1,0,2,8,234,220,94.0,6,Matches
626,Boris Sekulić\adf26bd4,sk SVK,DF,Chicago Fire,29,1991,25.6,1438,84,357,669,482,56,1206,17,30,56.7,19,2,820,3212,2007,101,48,7,22,22,949,807,85.0,63,Matches
627,Brandon Servania\4d825a2d,us USA,MF,FC Dallas,21,1999,10.5,521,31,170,287,107,6,508,9,15,60.0,9,0,354,1982,1031,41,14,2,13,15,390,337,86.4,14,Matches
628,Jacob Shaffelburg\339a2561,ca CAN,FWMF,Toronto FC,21,1999,11.0,488,7,48,171,302,73,473,16,43,37.2,18,4,344,1701,1202,68,20,16,30,21,497,352,70.8,93,Matches
629,Ryan Shawcross\285a3d44,eng ENG,DF,Inter Miami,33,1987,9.1,397,91,254,148,12,6,384,1,3,33.3,1,0,220,1279,680,10,1,0,1,0,251,240,95.6,0,Matches
630,Brek Shea\adb6ae24,us USA,DFFW,Inter Miami,30,1990,18.6,910,62,277,404,278,27,811,6,15,40.0,8,1,553,2248,1192,49,19,1,36,10,713,611,85.7,56,Matches
631,Khiry Shelton\f935709c,us USA,FW,Sporting KC,27,1993,24.8,837,12,66,377,467,77,816,44,66,66.7,46,3,600,3014,1543,69,24,8,94,70,1053,617,58.6,143,Matches
632,Andre Shinyashiki\8c395868,br BRA,FWMF,Colorado Rapids,25,1995,15.9,819,24,130,382,361,93,805,32,51,62.7,34,3,613,2957,1666,96,21,12,26,46,751,598,79.6,118,Matches
633,Bobby Shuttleworth\4598ac94,us USA,GK,Chicago Fire,33,1987,23.0,696,645,690,7,1,0,452,0,1,0.0,0,0,287,1299,645,0,0,0,1,0,226,225,99.6,1,Matches
634,Marcelo Silva\b9596515,uy URU,DF,Real Salt Lake,31,1989,19.0,957,144,627,367,16,10,933,0,1,0.0,1,0,519,2583,1193,19,0,0,1,1,632,620,98.1,3,Matches
635,Luke Singh\9ae196a0,tt TRI,DF,Toronto FC,20,2000,5.0,271,49,151,129,7,4,258,1,3,33.3,1,0,160,795,479,9,0,0,1,0,178,174,97.8,1,Matches
636,Pablo Sisniega\550557e1,mx MEX,GK,Los Angeles FC,25,1995,8.0,228,192,228,0,0,0,143,0,0,,0,0,103,435,238,0,0,0,0,0,72,72,100.0,0,Matches
637,Jack Skahan\9c07bdc7,us USA,MFDF,San Jose,22,1998,2.8,173,10,51,89,48,4,172,3,5,60.0,3,0,114,658,365,16,5,0,4,7,113,99,87.6,12,Matches
638,Drew Skundrich\51f50135,us USA,MFFW,D.C. United,25,1995,12.8,569,12,106,321,166,28,561,5,6,83.3,5,1,316,1334,699,27,10,1,12,18,429,321,74.8,41,Matches
639,Gabriel Slonina\c55a846e,us USA,GK,Chicago Fire,16,2004,11.0,353,324,350,3,0,0,250,0,0,,0,0,149,566,333,0,0,0,1,0,120,120,100.0,0,Matches
640,Brad Smith\c76c717c,au AUS,DF,Seattle,26,1994,18.1,947,32,253,413,347,53,829,8,25,32.0,10,1,588,2946,1939,83,27,13,21,19,763,622,81.5,59,Matches
641,Kimarni Smith\bbbb244b,eng ENG,FW,D.C. United,22,1998,1.1,33,0,0,13,22,2,31,0,2,0.0,0,0,25,128,81,6,2,1,1,4,39,20,51.3,11,Matches
642,Kyle Smith\9e6b2ec3,us USA,DF,Orlando City,29,1992,19.9,1395,101,602,576,304,28,1230,18,27,66.7,19,1,847,3315,1877,70,35,4,12,15,871,829,95.2,38,Matches
643,Erik Sorga\02ba67a2,ee EST,FW,D.C. United,21,1999,2.8,86,2,5,36,48,7,77,3,5,60.0,3,0,56,367,54,6,0,0,8,5,139,61,43.9,21,Matches
644,Santiago Sosa\f080dd22,ar ARG,MFDF,Atlanta Utd,21,1999,24.4,1977,82,680,1146,256,12,1893,11,19,57.9,13,2,1252,4979,2536,64,18,0,14,15,1442,1385,96.0,22,Matches
645,Yeferson Soteldo\bbb6c951,ve VEN,FW,Toronto FC,23,1997,19.3,1110,4,83,494,677,98,988,84,122,68.9,86,6,926,6410,4212,240,79,56,47,77,1079,852,79.0,155,Matches
646,Omar Sowe\310fd6d8,gm GAM,FW,NY Red Bulls,20,2000,0.2,5,0,1,2,2,0,5,1,1,100.0,1,0,3,4,0,0,0,0,1,0,10,2,20.0,0,Matches
647,Dayne St. Clair\3f41d25f,ca CAN,GK,Minnesota Utd,23,1997,4.0,121,108,120,0,1,1,86,0,0,,0,0,60,353,173,0,0,0,0,0,40,40,100.0,0,Matches
648,Mason Stajduhar\f01df62c,us USA,GK,Orlando City,23,1997,5.0,128,119,128,0,0,0,83,0,0,,0,0,48,253,143,0,0,0,0,0,33,32,97.0,0,Matches
649,Caleb Stanko\381e52af,us USA,MFDF,FC Cincinnati,27,1993,13.0,635,56,275,345,45,4,620,3,3,100.0,3,0,367,1581,687,17,5,0,8,4,453,431,95.1,7,Matches
650,Aedan Stanley\61cd3bcf,us USA,DF,Austin FC,21,1999,2.6,208,12,63,91,64,7,185,2,3,66.7,3,0,150,495,277,14,5,1,1,2,165,150,90.9,6,Matches
651,Daniel Steres\17c03c76,us USA,DF,LA Galaxy,30,1990,12.6,897,123,517,420,26,8,880,0,0,,0,0,574,3560,2086,36,3,0,1,2,650,642,98.8,0,Matches
652,Luka Stojanović\1a892191,rs SRB,MF,Chicago Fire,27,1994,15.0,854,17,167,439,295,41,777,14,27,51.9,14,0,519,2243,1008,41,18,2,22,23,689,560,81.3,50,Matches
653,Jared Stroud\5d018899,us USA,FWMF,Austin FC,24,1996,12.9,544,11,103,195,276,61,526,4,6,66.7,4,0,364,2317,1190,58,11,19,20,15,515,377,73.2,94,Matches
654,Aljaž Struna\b82c2982,si SVN,DF,CF Montréal,30,1990,15.9,967,95,495,457,57,7,901,1,1,100.0,1,0,585,2394,1419,38,15,1,1,1,685,665,97.1,1,Matches
655,Brad Stuver\6a1940d5,us USA,GK,Austin FC,29,1991,33.0,1332,1219,1330,3,0,0,974,0,0,,0,0,681,2422,1193,0,0,0,0,0,622,620,99.7,0,Matches
656,Quinn Sullivan\92f62cfe,us USA,FWMF,Philadelphia,16,2004,6.0,272,8,33,98,168,31,268,4,8,50.0,4,0,193,1340,848,39,18,7,22,12,302,196,64.9,48,Matches
657,Hunter Sulte\92823044,us USA,GK,Portland Timbers,18,2002,1.3,47,41,47,0,0,0,33,0,0,,0,0,26,130,54,0,0,0,0,0,19,19,100.0,0,Matches
658,Ben Sweat\6937b1ac,us USA,DF,Austin FC,29,1991,1.0,61,3,22,29,15,1,56,3,3,100.0,3,0,46,186,127,3,2,0,4,1,48,46,95.8,7,Matches
659,Ballou Tabla\018bd079,ca CAN,DFMF,CF Montréal,21,1999,0.2,12,0,3,3,7,2,12,0,0,,0,0,8,72,57,4,0,1,1,0,11,7,63.6,2,Matches
660,Ismael Tajouri-Shradi\ef4249ff,ly LBY,FWMF,NYCFC,26,1994,13.7,642,6,57,300,344,78,623,27,45,60.0,30,7,505,3058,1621,101,29,21,27,31,637,482,75.7,94,Matches
661,Andrew Tarbell\c5487a34,us USA,GK,Austin FC,27,1993,1.0,46,37,46,0,0,0,37,0,0,,0,0,29,131,68,0,0,0,0,0,22,22,100.0,0,Matches
662,Amro Tarek\52c930c0,eg EGY,DF,NY Red Bulls,28,1992,9.6,524,77,305,228,32,10,509,1,2,50.0,2,0,266,1895,1030,24,5,0,1,1,293,279,95.2,0,Matches
663,D.J. Taylor\ed4dc7f4,us USA,DF,Minnesota Utd,23,1997,6.9,489,22,140,233,143,10,420,4,10,40.0,4,0,298,1220,672,38,12,0,1,5,280,259,92.5,16,Matches
664,Russell Teibert\674befe9,ca CAN,MF,Vancouver,28,1992,26.8,1367,52,323,774,341,15,1319,10,20,50.0,13,1,908,3643,1689,70,16,0,17,26,1038,918,88.4,43,Matches
665,Carlos Terán\324509e2,co COL,DF,Chicago Fire,20,2000,10.8,654,85,346,242,93,8,556,1,4,25.0,2,1,354,1756,808,11,5,0,1,2,354,338,95.5,3,Matches
666,Tanner Tessmann\ac277993,us USA,MF,FC Dallas,19,2001,5.0,322,16,100,188,56,6,319,4,5,80.0,4,0,226,1289,590,22,8,3,3,10,249,230,92.4,12,Matches
667,Thiago\6adb0b79,br BRA,FW,NYCFC,20,2000,10.8,427,5,48,188,230,68,424,24,45,53.3,27,0,333,1724,970,47,16,19,44,40,474,302,63.7,94,Matches
668,Tommy Thompson\5f6c69d8,us USA,DF,San Jose,25,1995,8.3,570,28,214,249,151,12,499,7,12,58.3,8,0,368,2088,1284,65,24,5,7,6,375,345,92.0,22,Matches
669,Anton Tinnerholm\0fe96099,se SWE,DF,NYCFC,29,1991,22.3,1379,42,382,620,472,61,1181,11,25,44.0,14,0,737,4637,2802,141,36,11,20,15,908,813,89.5,69,Matches
670,Donny Toia\d286f965,us USA,DF,Real Salt Lake,28,1992,14.7,882,55,311,437,177,20,748,9,16,56.3,9,0,464,2209,1104,40,15,4,12,9,510,470,92.2,19,Matches
671,John Tolkin\5e88c524,us USA,DFMF,NY Red Bulls,18,2002,22.1,1456,47,370,683,522,16,1207,18,31,58.1,19,3,777,4709,2541,113,50,5,22,17,809,721,89.1,35,Matches
672,Nouhou Tolo\0796512f,cm CMR,DF,Seattle,23,1997,16.2,926,114,488,420,87,12,855,13,22,59.1,14,0,569,3065,1638,43,10,1,8,10,551,527,95.6,9,Matches
673,Erick Torres\b7f98460,mx MEX,FW,Atlanta Utd,28,1993,7.0,272,9,25,159,105,31,253,5,10,50.0,5,0,167,613,175,7,5,0,26,18,326,187,57.4,39,Matches
674,Joaquín Torres\c82dcb70,ar ARG,FWMF,CF Montréal,24,1997,21.0,1028,6,79,486,546,80,975,38,76,50.0,43,5,837,4585,2432,145,34,30,59,54,1051,810,77.1,152,Matches
675,Dantouma Toure\b5d2014f,gn GUI,FW,Colorado Rapids,16,2004,0.0,2,0,0,2,1,0,2,0,2,0.0,0,0,1,0,0,0,0,0,0,0,5,2,40.0,0,Matches
676,Mason Toye\0aa41f67,us USA,FW,CF Montréal,22,1998,9.9,267,9,21,144,115,39,258,6,12,50.0,8,0,170,735,353,16,3,5,19,16,359,205,57.1,49,Matches
677,Wil Trapp\9bf9391c,us USA,MF,Minnesota Utd,28,1993,30.3,1933,52,450,1179,411,12,1887,20,27,74.1,21,0,1313,5361,2702,97,32,2,12,17,1414,1328,93.9,33,Matches
678,Auston Trusty\cddf767b,us USA,DF,Colorado Rapids,22,1998,33.0,1967,211,869,984,224,37,1889,13,17,76.5,14,0,1203,5559,2863,99,34,1,15,10,1318,1269,96.3,23,Matches
679,Bill Tuiloma\bf547c54,nz NZL,DF,Portland Timbers,25,1995,20.1,1094,218,642,418,89,28,1044,7,10,70.0,8,1,596,3354,1856,40,11,0,2,2,649,638,98.3,8,Matches
680,Cole Turner\30ec7b37,us USA,DF,Philadelphia,19,2001,0.1,6,0,0,2,5,1,5,0,0,,0,0,4,17,10,1,1,0,0,0,5,5,100.0,1,Matches
681,Matt Turner\4a51ba65,us USA,GK,New England,26,1994,28.0,845,747,842,5,0,0,575,0,0,,0,0,371,1912,1191,0,0,0,0,1,269,268,99.6,0,Matches
682,Ema Twumasi\9ca4b140,gh GHA,DF,FC Dallas,23,1997,18.9,1138,67,445,508,285,13,1004,31,39,79.5,31,1,815,4578,2725,96,33,4,20,23,782,705,90.2,28,Matches
683,Przemysław Tytoń\1fa85681,pl POL,GK,FC Cincinnati,34,1987,14.3,472,449,471,1,0,0,321,0,0,,0,0,197,904,473,0,0,0,0,0,181,180,99.4,0,Matches
684,Victor Ulloa\e7056f05,us USA,MFDF,Inter Miami,28,1992,13.8,721,26,182,405,160,10,658,10,17,58.8,10,0,450,1611,759,20,6,0,17,10,519,456,87.9,17,Matches
685,Maximiliano Urruti\6c8fb474,ar ARG,FW,Houston Dynamo,29,1991,24.9,751,4,54,327,427,120,687,25,42,59.5,30,2,536,2668,1296,70,29,13,55,41,875,499,57.0,167,Matches
686,Júnior Urso\b40424f1,br BRA,MF,Orlando City,31,1989,27.6,1679,57,406,1022,370,43,1666,29,41,70.7,30,3,1185,5152,2455,102,32,2,39,40,1414,1284,90.8,57,Matches
687,Zarek Valentin\f0d23e7b,pr PUR,DF,Houston Dynamo,29,1991,26.6,1492,99,491,752,320,7,1214,4,10,40.0,4,0,751,2889,1680,58,29,2,8,7,800,756,94.5,17,Matches
688,Milton Valenzuela\82318d24,ar ARG,DF,Columbus Crew,22,1998,9.7,622,34,206,291,155,12,552,4,11,36.4,5,1,398,1718,946,44,11,4,7,9,403,372,92.3,19,Matches
689,Diego Valeri\31da63ad,ar ARG,MFFW,Portland Timbers,34,1986,13.7,880,20,93,395,445,53,788,16,30,53.3,16,2,598,2819,1666,96,34,5,26,27,814,643,79.0,120,Matches
690,Gustavo Vallecilla\2ce88662,ec ECU,DF,FC Cincinnati,21,1999,22.2,1282,284,907,418,41,12,1253,13,17,76.5,13,0,839,5035,2574,33,7,0,9,8,835,812,97.2,3,Matches
691,Florian Valot\ad454d78,fr FRA,MFFW,FC Cincinnati,27,1993,3.7,225,5,65,125,50,6,224,0,2,0.0,1,1,162,883,508,24,8,0,5,3,188,168,89.4,13,Matches
