Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
34,Mikey Ambrose\f649d6aa,us USA,DFMF,Atlanta Utd,27,1993,0.7,0,0,0,1,0,0,1,0,2,0,0,0,4,0,0,,Matches
35,Malte Amundsen\83b6e15d,dk DEN,DF,NYCFC,22,1998,15.5,2,0,0,24,8,0,39,33,18,1,1,0,108,18,16,52.9,Matches
36,Sebastian Anderson\3a9911ce,us USA,DF,Colorado Rapids,18,2002,0.4,0,0,0,0,1,0,0,0,1,0,0,0,3,1,1,50.0,Matches
37,José Andrés Martínez\c8364e8e,ve VEN,MF,Philadelphia,26,1994,21.7,9,1,0,33,31,0,10,61,54,0,0,0,273,31,16,66.0,Matches
38,Jalil Anibaba\e44593b0,us USA,DF,Nashville,32,1988,7.1,0,0,0,6,1,1,1,6,4,0,0,0,31,11,5,68.8,Matches
39,Brian Anunga\17b28ec7,cm CMR,MF,Nashville,24,1996,16.8,4,0,0,49,13,1,9,33,26,0,0,1,198,15,9,62.5,Matches
40,Cristian Arango\fea9401e,co COL,FW,Los Angeles FC,25,1995,15.5,4,0,0,29,40,6,18,12,10,2,0,0,71,30,37,44.8,Matches
41,Julian Araujo\8f4541c2,mx MEX,DF,LA Galaxy,19,2001,31.0,8,0,0,48,23,1,102,66,66,0,0,1,264,43,27,61.4,Matches
42,Luiz Araújo\fa18c72e,br BRA,FWMF,Atlanta Utd,24,1996,12.8,3,0,0,29,21,1,22,8,17,0,0,0,60,2,9,18.2,Matches
43,Daniel Armando Ríos\078b2c07,mx MEX,FW,Nashville,25,1995,4.1,0,0,0,3,9,3,7,4,6,0,0,0,18,9,20,31.0,Matches
44,Xavier Arreaga\7f2b7640,ec ECU,DF,Seattle,26,1994,24.0,6,0,0,32,21,3,1,44,32,0,0,0,171,48,27,64.0,Matches
45,Paul Arriola\1bb2acce,us USA,FWMF,D.C. United,25,1995,15.1,3,0,0,18,22,5,35,8,3,0,0,0,81,5,30,14.3,Matches
46,Artur\ea6803c7,br BRA,MF,Columbus Crew,24,1996,4.8,1,0,0,6,4,0,2,14,14,0,0,0,38,1,4,20.0,Matches
47,Yamil Asad\a444689a,ar ARG,MFFW,D.C. United,26,1994,7.2,3,0,0,18,18,1,10,18,15,0,0,0,51,9,14,39.1,Matches
48,Dairon Asprilla\218d336c,co COL,FWMF,Portland Timbers,28,1992,23.2,5,0,0,36,34,8,62,27,23,0,0,0,159,61,72,45.9,Matches
49,Isaac Atanga\ff0f2a53,gh GHA,FWMF,FC Cincinnati,20,2000,11.4,0,1,0,13,15,6,14,11,10,0,0,0,42,7,15,31.8,Matches
50,Joshua Atencio\1f084637,us USA,MF,Seattle,19,2002,16.8,1,0,0,20,10,1,1,35,25,0,0,0,186,27,18,60.0,Matches
51,Jeff Attinella\4277b946,us USA,GK,Portland Timbers,32,1988,1.9,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,,Matches
52,Eduard Atuesta\60990b81,co COL,MF,Los Angeles FC,23,1997,23.6,3,0,0,40,45,0,37,47,29,0,0,0,265,14,17,45.2,Matches
53,Auro\b234cb0e,br BRA,DFMF,Toronto FC,25,1996,22.1,2,1,0,34,28,1,12,44,26,1,0,0,193,12,21,36.4,Matches
54,Brandon Austin\5e253986,eng ENG,GK,Orlando City,22,1999,5.0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,,Matches
55,Edison Azcona\05f54837,do DOM,FW,Inter Miami,17,2003,0.6,1,0,0,3,1,0,1,1,2,0,0,0,4,0,3,0.0,Matches
56,Dominique Badji\758ac389,sn SEN,FW,Nashville,28,1992,2.1,0,0,0,1,2,3,1,1,4,0,0,0,7,9,10,47.4,Matches
57,Dominique Badji\758ac389,sn SEN,FWMF,Colorado Rapids,28,1992,3.6,1,0,0,7,8,1,1,0,3,0,0,0,7,9,13,40.9,Matches
58,Zico Bailey\aa9e1161,us USA,DF,FC Cincinnati,20,2000,7.6,2,0,0,10,5,0,6,16,8,0,0,0,58,3,5,37.5,Matches
59,Theo Bair\c724745e,ca CAN,FW,Vancouver,21,1999,0.3,0,0,0,0,0,1,0,0,0,0,0,0,2,4,1,80.0,Matches
60,Corey Baird\2d0d1442,us USA,FW,Los Angeles FC,25,1996,8.3,2,0,0,7,7,3,8,6,7,0,0,0,35,6,24,20.0,Matches
61,Corey Baird\2d0d1442,us USA,FW,Houston Dynamo,25,1996,4.0,0,0,0,6,6,1,2,4,2,0,0,0,23,3,5,37.5,Matches
62,Mateo Bajamich\d005b036,ar ARG,FWMF,Houston Dynamo,21,1999,1.5,0,0,0,5,2,2,6,0,0,0,0,0,8,2,3,40.0,Matches
63,Reed Baker-Whiting\816d7aec,us USA,MFFW,Seattle,15,2005,2.2,0,0,0,3,4,1,0,1,1,0,0,0,11,1,5,16.7,Matches
64,Michael Baldisimo\894b41c5,ca CAN,MF,Vancouver,20,2000,13.9,6,0,0,30,13,0,4,25,21,0,0,0,93,9,8,52.9,Matches
65,Grayson Barber\8504b10a,us USA,FWMF,Sporting KC,20,2000,2.4,1,0,0,5,4,1,1,1,5,0,0,0,13,4,8,33.3,Matches
66,Ezequiel Barco\7fa737c4,ar ARG,FWMF,Atlanta Utd,21,1999,23.7,4,1,0,8,113,4,21,16,7,0,0,0,124,0,15,0.0,Matches
67,Tom Barlow\da4821de,us USA,FWMF,NY Red Bulls,25,1995,5.5,2,0,0,11,3,7,4,2,4,0,0,0,25,32,37,46.4,Matches
68,Luis Barraza\e6f22a6b,us USA,GK,NYCFC,24,1996,5.0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0.0,Matches
69,Álvaro Barreal\ffca53e1,ar ARG,FWMF,FC Cincinnati,20,2000,24.5,4,1,0,21,47,2,45,20,22,0,0,0,125,7,32,17.9,Matches
70,Michael Barrios\df782c79,co COL,FWMF,Colorado Rapids,29,1991,23.3,3,0,0,28,23,10,70,14,13,1,1,0,97,9,31,22.5,Matches
71,Cole Bassett\2c8da8a1,us USA,MFFW,Colorado Rapids,19,2001,24.6,3,0,0,37,47,2,40,12,21,0,0,0,154,28,50,35.9,Matches
72,Zorhan Bassong\6297d826,ca CAN,DF,CF Montréal,21,1999,13.9,3,1,1,22,12,3,12,24,17,0,1,0,94,26,16,61.9,Matches
73,Clement Bayiha\ca9f2034,ca CAN,DF,CF Montréal,21,1999,3.2,0,0,0,6,1,0,6,8,2,0,0,0,29,1,4,20.0,Matches
74,Tanner Beason\3f1b018e,us USA,DF,San Jose,23,1997,21.4,1,0,0,12,16,0,4,40,11,0,0,1,148,71,32,68.9,Matches
75,Alejandro Bedoya\9a6f8dfd,us USA,MF,Philadelphia,33,1987,29.5,5,0,0,55,23,8,50,53,36,0,0,0,227,71,71,50.0,Matches
76,Steven Beitashour\64f1680a,ir IRN,DF,Colorado Rapids,33,1987,6.5,1,0,0,2,3,1,5,12,4,0,0,0,39,4,5,44.4,Matches
77,Jon Bell\658a3134,us USA,DF,New England,23,1997,9.1,1,0,0,11,3,0,1,28,19,0,0,0,62,36,38,48.6,Matches
78,George Bello\aca0a525,us USA,DF,Atlanta Utd,19,2002,27.1,3,0,0,17,44,5,46,39,23,0,0,0,166,20,22,47.6,Matches
79,Joe Bendik\c3e50b67,us USA,GK,Philadelphia,31,1989,2.4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,Matches
